player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Mark Bryant,DAL,36.0,205.74,113.398,18,1.1,1.2,0.2,-9.6,0.044,0.191,0.121,0.428,0.042,2000-01
Larry Hughes,GSW,22.0,195.58,83.46092800000001,50,16.5,5.5,4.5,-7.5,0.042,0.122,0.246,0.449,0.2,2000-01
Larry Robinson,ATL,33.0,190.5,81.64656,34,5.9,2.6,1.1,-6.4,0.043,0.122,0.157,0.511,0.1,2000-01
Mario Elie,PHX,37.0,195.58,102.0582,68,4.4,2.3,1.9,2.4,0.0279999999999999,0.09,0.1009999999999999,0.541,0.133,2000-01
Marcus Fizer,CHI,22.0,205.74,118.841104,72,9.5,4.3,1.1,-14.2,0.055,0.19,0.247,0.476,0.0969999999999999,2000-01
Marcus Camby,NYK,27.0,210.82,102.0582,63,12.0,11.5,0.8,2.3,0.115,0.29,0.171,0.5589999999999999,0.043,2000-01
Marc Jackson,GSW,26.0,208.28,122.46984,48,13.2,7.5,1.2,-10.2,0.086,0.1989999999999999,0.208,0.534,0.071,2000-01
Mamadou N'diaye,TOR,26.0,213.36,115.66596,3,1.3,0.7,0.0,-10.8,0.143,0.143,0.211,0.41,0.0,2000-01
Malik Rose,SAS,26.0,200.66,115.66596,57,7.7,5.4,0.8,9.6,0.094,0.187,0.1969999999999999,0.498,0.067,2000-01
Mahmoud Abdul-Rauf,VAN,32.0,185.42,73.481904,41,6.5,0.6,1.9,-1.6,0.012,0.048,0.2689999999999999,0.514,0.285,2000-01
Larry Johnson,NYK,32.0,200.66,106.59412,65,9.9,5.6,2.0,0.0,0.053,0.156,0.176,0.493,0.108,2000-01
Lucious Harris,NJN,30.0,195.58,92.98636,73,9.4,3.9,1.8,-5.8,0.038,0.127,0.1639999999999999,0.498,0.109,2000-01
Loy Vaught,WAS,33.0,205.74,108.86208,51,3.3,3.4,0.5,-6.0,0.107,0.263,0.165,0.484,0.068,2000-01
Lorenzen Wright,ATL,25.0,210.82,108.86208,71,12.4,7.5,1.2,-7.6,0.1009999999999999,0.1969999999999999,0.233,0.486,0.079,2000-01
Lindsey Hunter,MIL,30.0,187.96,90.7184,82,10.1,2.1,2.7,5.1,0.018,0.0819999999999999,0.204,0.5,0.191,2000-01
Lee Nailon,CHH,26.0,203.2,109.315672,42,3.9,2.2,0.6,2.6,0.076,0.147,0.182,0.529,0.102,2000-01
Lawrence Funderburke,SAC,30.0,205.74,104.32616,59,4.9,3.3,0.3,0.2,0.1159999999999999,0.188,0.196,0.522,0.043,2000-01
Lavor Postell,NYK,23.0,195.58,92.98636,26,2.3,1.0,0.2,4.1,0.0579999999999999,0.1009999999999999,0.233,0.4479999999999999,0.0579999999999999,2000-01
Latrell Sprewell,NYK,30.0,195.58,86.18248,77,17.7,4.5,3.5,2.1,0.02,0.1159999999999999,0.258,0.497,0.172,2000-01
Luc Longley,NYK,32.0,218.44,120.20188,25,2.0,2.6,0.3,6.6,0.103,0.145,0.136,0.3989999999999999,0.04,2000-01
Evan Eschmeyer,NJN,26.0,210.82,115.66596,74,3.4,4.9,0.5,1.2,0.115,0.195,0.1009999999999999,0.512,0.044,2000-01
David Robinson,SAS,35.0,215.9,113.398,80,14.4,8.6,1.5,13.2,0.102,0.216,0.2269999999999999,0.5589999999999999,0.087,2000-01
Ervin Johnson,MIL,33.0,210.82,115.66596,82,3.2,7.5,0.5,6.9,0.121,0.237,0.067,0.557,0.0279999999999999,2000-01
Bryon Russell,UTA,30.0,200.66,102.0582,78,12.0,4.2,2.1,4.7,0.048,0.118,0.175,0.565,0.105,2000-01
Bryce Drew,CHI,26.0,190.5,83.91452,48,6.3,1.4,3.9,-7.4,0.011,0.052,0.143,0.45,0.231,2000-01
Bryant Stith,BOS,30.0,195.58,95.25432,78,9.7,3.6,2.2,-2.3,0.0289999999999999,0.106,0.145,0.5379999999999999,0.111,2000-01
Bryant Reeves,VAN,28.0,213.36,131.54168,75,8.3,6.0,1.1,-5.6,0.083,0.198,0.175,0.506,0.073,2000-01
Bruno Sundov,IND,21.0,218.44,108.408488,11,3.9,2.1,0.2,-12.5,0.037,0.15,0.175,0.498,0.03,2000-01
Bruce Bowen,MIA,30.0,200.66,90.7184,82,7.6,3.0,1.6,3.1,0.02,0.089,0.132,0.478,0.0819999999999999,2000-01
Brian Skinner,LAC,25.0,205.74,120.20188,39,4.1,4.3,0.5,-8.4,0.107,0.215,0.172,0.428,0.054,2000-01
Cal Bowdler,ATL,24.0,208.28,111.13004,44,3.2,1.8,0.1,1.3,0.091,0.142,0.168,0.532,0.016,2000-01
Brian Shaw,LAL,35.0,198.12,90.7184,80,5.3,3.8,3.2,2.2,0.03,0.158,0.131,0.479,0.206,2000-01
Brian Cardinal,DET,24.0,203.2,111.13004,15,2.1,1.5,0.2,-14.2,0.068,0.14,0.162,0.3979999999999999,0.052,2000-01
