quadruplet
"(Olumide Oyedeji, oreb_pct, dreb_pct, player_weight)"
"(Obinna Ekezie, player_weight, oreb_pct, player_height)"
"(Norman Richardson, usg_pct, ts_pct, nan)"
"(Nazr Mohammed, reb, oreb_pct, dreb_pct)"
"(Morris Peterson, pts, usg_pct, ts_pct)"
"(Mookie Blaylock, ast_pct, age, ast)"
"(Moochie Norris, ast, ast_pct, gp)"
"(Monty Williams, ts_pct, age, gp)"
"(Mitchell Butler, age, oreb_pct, ts_pct)"
"(Mitch Richmond, age, net_rating, gp)"
"(Milt Palacio, gp, ast_pct, nan)"
"(Mikki Moore, oreb_pct, player_height, dreb_pct)"
"(Mike Penberthy, ts_pct, ast_pct, dreb_pct)"
"(Mike Miller, pts, ast, net_rating)"
"(Patrick Ewing, age, dreb_pct, player_height)"
"(Sam Mack, age, net_rating, nan)"
"(Steven Smith, age, ts_pct, net_rating)"
"(Samaki Walker, dreb_pct, reb, player_weight)"
"(Tyronn Lue, ast_pct, ast, gp)"
"(Tyrone Nesby, player_weight, gp, dreb_pct)"
"(Tyrone Hill, reb, dreb_pct, age)"
"(Troy Murphy, gp, player_height, player_weight)"
"(Troy Hudson, usg_pct, gp, ast_pct)"
"(Trenton Hassell, gp, ast, pts)"
"(Tremaine Fowlkes, oreb_pct, player_height, nan)"
"(Tyson Chandler, player_height, oreb_pct, dreb_pct)"
"(Travis Knight, oreb_pct, player_height, player_weight)"
"(Trajan Langdon, ast_pct, usg_pct, ts_pct)"
"(Tracy Murray, usg_pct, age, ts_pct)"
"(Tracy McGrady, pts, usg_pct, ast)"
"(Tony Parker, ast, ast_pct, gp)"
"(Tony Massenburg, age, dreb_pct, player_weight)"
"(Tony Delk, net_rating, usg_pct, gp)"
"(Tony Battie, reb, oreb_pct, player_height)"
"(Travis Best, ast_pct, ast, gp)"
"(Victor Alexander, usg_pct, dreb_pct, player_weight)"
"(Vin Baker, oreb_pct, reb, pts)"
